SIGNNAME,BOROUGH,CLASS,ACRES,latitude,longitude
Printers Park,X,PARK,1.341,40.82392917927058,-73.89082405969653
Longfellow Playground,X,PARK,0.367,40.82559506802535,-73.88755686767401
Robert L. Clinkscales Playground and Community Garden,M,PARK,0.436,40.82269194420817,-73.9400809797882
Sara D. Roosevelt Park,M,PARK,7.85,40.7196317866419,-73.99261417079765
Agnes Haywood Playground,X,PARK,1.32,40.88029558945758,-73.86181381551414
Almeda Playground,Q,PARK,1.43,40.593543746987805,-73.79468426411361
Dag Hammarskjold Plaza,M,PARK,1.59,40.752335371061626,-73.96888265522729
Loreto Playground,X,PARK,2.181,40.84905801983358,-73.85211929613426
James Weldon Johnson Playground,M,PARK,1.048,40.79717835559237,-73.94185672318095
William McCray Playground,M,PARK,0.456,40.815551175710226,-73.93773378930744
Stars & Stripes Playground,X,PARK,2.646,40.88542532678924,-73.83953906824661
Fisher Pool,Q,PARK,0.817,40.75870482034548,-73.86943067710781
MacArthur Playground,M,PARK,0.329,40.75220391647187,-73.96514740432792
Charlton Plaza,M,PARK,0.039,40.72727472792883,-74.00351061014274
Minetta Playground,M,PARK,0.206,40.73068169732279,-74.00132451483849
Constance Baker Motley Recreation Center,M,PARK,0.17,40.75647974552544,-73.96513134853096
Strawberry Playground,B,PARK,0.319,40.7097256887129,-73.95591502469554
Marcy Green South,B,PARK,0.104,40.70877523466213,-73.95733716974978
Gustave Hartman Square,M,PARK,0.095,40.720769722652506,-73.98081040734932
Allerton Playground,X,PARK,1.597,40.865994958012784,-73.85053597983584
Mazzei Playground,X,PARK,1.59,40.862541256155595,-73.85846847964105
Boston Garden,X,PARK,0.024,40.865721671900694,-73.86178700721385
A.R.R.O.W. Field House,Q,PARK,0.29,40.75582838688134,-73.9262867645179
Van Nest Park,X,PARK,0.401,40.843345253620924,-73.86577886557065
Fulton Park,B,PARK,1.987,40.67975793876403,-73.93258784750913
Lentol Garden,B,PARK,0.762,40.72008766581919,-73.94522081657873
Boerum Park,B,PARK,0.918,40.68465245656243,-73.99032448952224
Conference House Park,R,PARK,286.557,40.499752687307996,-74.24211893388214
Hunter's Point South Park,Q,PARK,22.809,40.74100269601971,-73.96149517913085
Francis Lewis Park,Q,PARK,16.831,40.79711962493639,-73.82525071069763
Brighton Playground,B,PARK,1.225,40.57517986572779,-73.96539625512341
Bowne Park,Q,PARK,11.788,40.77052044992811,-73.80736310111271
Tottenville Shore Park,R,PARK,9.181,40.51092169317971,-74.25356292240514
Snug Harbor Cultural Center,R,PARK,83.3,40.64269472620458,-74.10324205370358
River Garden,X,PARK,0.44,40.84195219281433,-73.87663046479757
Midland Field,R,PARK,7.463,40.57616373297057,-74.09859984427658
Reed's Basket Willow Swamp Park,R,PARK,52.68328275,40.60138279251451,-74.10427470295787
Sperandeo Brothers Playground,B,PARK,2.799,40.67709875341715,-73.88445649270558
Sean's Place,Q,PARK,0.582,40.76077196232263,-73.91832746365552
Gerard P. Dugan Playground,R,PARK,3.333,40.561430823775154,-74.1108466969009
Simeone Park,Q,PARK,1.78,40.740979531391886,-73.8599236139906
Corona Taxpayers Association,Q,PARK,0.18,40.74160443701145,-73.85998084325055
Amundsen Circle,R,PARK,0.916,40.564634525086255,-74.13101587521712
Abe Lebewohl Triangle,M,PARK,0.014,40.73008495806106,-73.98780621190338
Canal Park,M,PARK,0.669,40.72534443235251,-74.01058097618817
Graniteville Swamp Park,R,PARK,9.187,40.624952348217086,-74.17423849419839
Hollis Playground,Q,PARK,0.98,40.70649238795538,-73.75311395276563
East Springfield Playground,Q,PARK,1.146,40.6984275961492,-73.74000526038759
Floral Vineyard,B,PARK,0.107,40.673770048897,-73.88448492222618
Nathan Straus Playground,M,PARK,0.851,40.71935104740112,-73.9840946306906
Annadale Playground,Q,PARK,1.013,40.73113517383022,-73.8518087903932
Causa Festival Garden,B,PARK,0.206,40.668410555832,-73.88954679942714
Fort Tryon Park,M,PARK,67.213,40.862359584170015,-73.93220398778325
Arrochar Playground,R,PARK,0.892,40.597743327782936,-74.07093379469359
Pueblo Unido Garden,M,PARK,0.054,40.796399084060546,-73.94711303555306
La Cuevita Garden,M,PARK,0.057,40.79911980725352,-73.94429312607562
United Block Association Garden,M,PARK,0.076,40.81069697643091,-73.94124397670252
Pleasant Park Garden,M,PARK,0.116,40.794167077751375,-73.934497481666
Sam and Sadie Koenig Garden,M,PARK,0.029,40.724093403439475,-73.97834209308283
Our Little Green Acre Garden,M,PARK,0.052,40.808217523486874,-73.9520412755079
First Street Garden,M,PARK,0.061,40.724012912803055,-73.98960270673743
P.S. 76 Garden,M,PARK,0.053,40.80622464262565,-73.9511072170399
Yu Suen Garden,M,PARK,0.06,40.728539235924195,-73.97837637631895
Morris-Jumel Ecological Education Garden,M,PARK,0.1,40.83576605392369,-73.93911632130315
Mobilization For Change,M,PARK,0.043,40.79970658802067,-73.96218078164092
Life Spire Garden,M,PARK,0.02,40.80258077483811,-73.93844862269745
Kenkeleba House Garden,M,PARK,0.249,40.722192996538865,-73.98268973767297
Humacao Community Garden,M,PARK,0.11,40.79135177301339,-73.9395245648027
Garden Of Love,M,PARK,0.087,40.80440820503835,-73.95607677092383
Elizabeth Langley Memorial Garden,M,PARK,0.11,40.816125747431144,-73.94103907278625
De Colores Cmty Yard and Center,M,PARK,0.066,40.725449820459964,-73.97974059084923
The Secret Garden,M,PARK,0.05,40.722493803161576,-73.98035680990422
117th St Community Garden,M,PARK,0.08,40.79882513723772,-73.94058267967691
William B. Washington Memorial Garden,M,PARK,0.084,40.81142255986539,-73.95156940045766
Diamante Garden,M,PARK,0.186,40.79786274223477,-73.93635900236038
Old Croton Aqueduct Gatehouse,M,PARK,0.146,40.80843779638436,-73.95957991695644
W 104th Street Garden,M,PARK,0.38,40.796888324211864,-73.96192680015595
Abyssinian Tot Lot,M,PARK,0.118,40.81718119133917,-73.94085448980388
Unity Gardens,M,PARK,0.129,40.80934349659272,-73.94265797494872
Santos White Garden,B,PARK,0.141,40.57603496374913,-73.9882349120837
Jefferson Market Garden,M,PARK,0.361,40.73444253467728,-73.999514013452
Harlem Rose Garden,M,PARK,0.163,40.80853323218231,-73.93997801839465
West 111th St. People's Garden,M,PARK,0.109,40.80388667671179,-73.9635554050099
Private William Gray Playground,Q,PARK,0.069,40.757875000443796,-73.8708363337299
Chelsea Recreation Center,M,PARK,0.385,40.74829842896895,-74.00221873949397
Sol Bloom Playground,M,PARK,0.837,40.789629694591795,-73.96877430996351
Collect Pond Park,M,PARK,0.994,40.716328963927445,-74.00181983388187
P.S. 155 Playground,M,PARK,0.834,40.79731679498751,-73.93544251179812
Bloomingdale Playground,M,PARK,0.715,40.79917221484547,-73.96600104045541
Sol Lain Plgd,M,PARK,0.891,40.71424501851444,-73.98390589467472
Wright Brothers Playground,M,PARK,0.584,40.831672760652864,-73.94174877671331
Montbellier Park,Q,PARK,4.427,40.67472003625562,-73.75657731430037
Matthew P. Sapolin Playground,M,PARK,0.947,40.77735970443206,-73.98395825905564
Wagner Playground,M,PARK,1.27,40.799774001502186,-73.93492151550142
Centreville Playground,Q,PARK,2.095,40.67035768335945,-73.83904238287438
Northern Playground,Q,PARK,1.719,40.75605571511057,-73.87456063038996
Haggerty Park,Q,PARK,3.867,40.7129651518359,-73.75769846981756
Real Good Playground,Q,PARK,1.598,40.735556327192064,-73.85734546269741
Mafera Park,Q,PARK,5.4,40.707213228646246,-73.89123286830612
Playground Thirty Five XXXV,Q,PARK,0.218,40.75480664836936,-73.92202419143108
Starr Playground,Q,PARK,0.9,40.70978557063271,-73.91780639570474
Jerry and The Senior Gents,B,PARK,0.057,40.67234378113545,-73.88806511617774
Franklin Triangle,X,PARK,0.12,40.827124214946146,-73.90731246549446
Park,Q,PARK,0.143,40.70330829345999,-73.81610602105377
Maple Playground,Q,PARK,0.978,40.75587494977434,-73.82609147023854
Big Bush Playground,Q,PARK,2.5,40.739608041416766,-73.90262797018788
Gutenberg Playground,M,PARK,0.551,40.76346433729656,-73.99016533010922
Frederick Douglass Playground,M,PARK,1.945,40.79709933275082,-73.96752965144584
Tecumseh Playground,M,PARK,0.738,40.78180527858827,-73.97851850399059
DeSalvio Playground,M,PARK,0.266,40.72164855705577,-73.99611203459047
Daniel M. O'Connell Playground,Q,PARK,2.043,40.69986781310172,-73.75809728938985
Middle Village Playground,Q,PARK,0.448,40.710095240188885,-73.87362641189858
Howard Bennett Playground,M,PARK,1.228,40.813693743839714,-73.9387000645919
Holcombe Rucker Park,M,PARK,3.05,40.82929407730793,-73.93597351174088
Jes Good Rewards Childeren's Garden,B,PARK,0.213,40.66686874252147,-73.9136461915796
East Flatbush Children's Playground,B,PARK,0.106,40.663267314520574,-73.92695223313407
Harmony Park,B,PARK,1.56,40.67793206830062,-73.93443180731602
Lott Park,B,PARK,0.06,40.64818036925375,-73.95409169647682
Success Garden,B,PARK,0.918,40.66469589424998,-73.8975005053653
Jacob's Ladder Playground,B,PARK,1.085,40.70486889288582,-73.96702779620676
Chiarantano Playground,B,PARK,0.206,40.63692895484138,-73.93337554188079
Tom McDonald Triangle,B,PARK,0.032,40.62191619574744,-74.02259443615777
Lindower Park,B,PARK,6.7,40.61210204774346,-73.91152113231958
Cobble Hill Park,B,PARK,0.585,40.68821155209279,-73.99601379591843
Helen Marshall Playground,Q,PARK,3.827,40.76557938537485,-73.87080768924484
Mae Grant Playground,M,PARK,0.97,40.792439562916805,-73.94944003400215
Langston Hughes Playground,M,PARK,0.66,40.81222616382204,-73.94662456786061
St. Nicholas Playground South,M,PARK,0.67,40.81104596477178,-73.94725730314413
Park,M,PARK,0.059,40.80698847578893,-73.93532279037996
Coffey Park,B,PARK,8.271,40.67766725790728,-74.00846317703505
Alice Kornegay Triangle,M,PARK,0.883,40.80641199401116,-73.93531626517202
Playground One Twenty Five CXXV,M,PARK,1.691,40.81078081810179,-73.95551996662617
Moore Playground,M,PARK,0.766,40.80937702153641,-73.9384926871028
Tudor Grove Playground,M,PARK,0.192,40.7490469913209,-73.97114928503048
Mary O'Connor Playground,M,PARK,0.229,40.74954580525622,-73.97079251676085
Trygve Lie Plaza,M,PARK,0.095,40.74858421650187,-73.9703769380183
Anibal Aviles Playground,M,PARK,0.517,40.80118555650531,-73.96284692986742
Booker T. Washington Playground,M,PARK,1.441,40.80094405965277,-73.96376749437746
Monsignor Kett Playground,M,PARK,1,40.862528009324706,-73.92091328682305
Lindsay Triangle,B,PARK,0.039,40.70415145418166,-73.94822727305197
Park,X,PARK,0.592,40.844321832620494,-73.9002867901407
Alfred E. Smith Playground,M,PARK,1.75,40.710572850059236,-73.99748850599607
Sheltering Arms Playground,M,PARK,1.43,40.815042747432145,-73.95585957893644
Marx Brothers Playground,M,PARK,1.478,40.784335205864416,-73.94616901107334
Southside Burial Ground,Q,PARK,0.226,40.67066935998578,-73.84423330876976
Brigadier General Charles Young Playground,M,PARK,6.423,40.8192107167169,-73.93553958743512
Samuel N. Bennerson 2nd Playground,M,PARK,0.749,40.773823942223686,-73.98695384422929
Peter Minuit Playground,M,PARK,0.943,40.7947707458454,-73.94723147240772
Vladeck Park,M,PARK,0.789,40.71241358595489,-73.9820200657709
Harding Park,X,PARK,2.16,40.80930853955603,-73.85660600195864
Randall Playground,X,PARK,1,40.81930060226544,-73.84960114795699
Waterfront Garden,X,PARK,0.27,40.809755386222065,-73.85054480425536
Bushwick Playground,B,PARK,1.29,40.701762243238406,-73.9394347937348
Prospect Cemetery,Q,PARK,3.504,40.70140379784608,-73.79954293453063
Charlie's Place,B,PARK,1.26,40.69914018392052,-73.9459776760987
Public Place,B,PARK,0.112,40.67825971802698,-73.86510799801097
Sankofa Park,B,PARK,0.847,40.66557757145317,-73.8861701524321
Underwood Park,B,PARK,1.187,40.688577393298914,-73.96641962863683
Park,B,PARK,0.116,40.65004101877585,-73.97352176809503
"Captain John McKenna, IV Park",B,PARK,0.48,40.652419666617675,-73.9775454297371
McCaffrey Playground,M,PARK,0.436,40.758986488903766,-73.99128320430032
Park,B,PARK,0.586,40.61413503652891,-74.02711177694718
Sarsfield Playground,B,PARK,0.579,40.62019698519481,-73.93747953363052
Brizzi Playground,B,PARK,0.649,40.64241753000673,-73.99464872677079
Washington Skate Park,B,PARK,1.549,40.672719747827884,-73.98556815271526
Sgt. William Dougherty Playground,B,PARK,0.429,40.723638203685546,-73.93703762320887
Grace Playground,B,PARK,2.73,40.67136970290145,-73.89443459410364
Blue Playground,B,PARK,0.29,40.71110168522505,-73.95497027746492
Dean Playground,B,PARK,1.3,40.680879388120296,-73.9731873001876
Tony Dapolito Recreation Center,M,PARK,0.208,40.729625969138155,-74.00544052115559
Brooklyn Heights Promenade,B,PARK,0.138,40.69908713536854,-73.9962741261355
Park,B,PARK,0.113,40.6645983464953,-73.99226069024418
Bryant Triangle,X,PARK,0.17,40.826612527828644,-73.88858786564788
Raoul Wallenberg Forest,X,PARK,4.73,40.88746464853629,-73.91780967948075
Spuyten Duyvil Playground,X,PARK,1.51,40.88704945575096,-73.91587335356931
Terrace Playground,R,PARK,1.922,40.613671688581015,-74.09859284656997
Ps 149 Artsy Bloom Community Garden,B,PARK,0.056,40.669704776039175,-73.89208087578932
American Heart,B,PARK,0.05,40.693178939696104,-73.94668645923733
Amboy Neighborhood Center,B,PARK,0.391,40.6652344822976,-73.91391347389448
All People's Church of the Apostolic Faith Community Garden,B,PARK,0.064,40.69439632480522,-73.94584074373658
700 Decatur St Block Association,B,PARK,0.115,40.68381718419475,-73.91438155281085
Gethsemane Garden,B,PARK,0.045,40.659016479616895,-73.90964379185486
Railroad Park,X,PARK,0.732,40.8251303929088,-73.91537714681898
Old Gravesend Cemetery,B,PARK,1.649,40.59460069380705,-73.9745573422746
Hope Ballfield,B,PARK,1.363,40.697484047492765,-73.91713545096434
Goodwin Gardens,B,PARK,0.348,40.69113337151578,-73.92345195022511
Sunshine Community Garden,B,PARK,0.115,40.70528936007328,-73.94401098729219
Earth Spirit Garden,B,PARK,0.23,40.71253414150634,-73.95942933596739
Project Roots,B,PARK,0.172,40.70273415797414,-73.94802129123688
Brooklyn Bears Carlton Av Garden,B,PARK,0.14,40.68570818413344,-73.97106410141235
Umoja Garden,B,PARK,0.206,40.68772879091008,-73.91946523122431
PS 4K PARADISE GARDEN,B,PARK,0.3,40.674654471267345,-73.88490286267564
Hull Street Garden,B,PARK,0.32,40.68014360264013,-73.90765374026638
Summit Street Community Garden,B,PARK,0.103,40.68246677070434,-74.0036632252625
The Backyard,B,PARK,0.225,40.68324898916203,-74.00560904824486
The Amazing Garden,B,PARK,0.103,40.683135762598695,-74.00334404110313
Human Compass Garden,B,PARK,0.073,40.684863587888294,-74.00247548524203
Epiphany Playground,B,PARK,0.5,40.70855932483269,-73.96554230683293
George Walker Jr. Park,B,PARK,0.591,40.67861760834819,-73.89511315745136
Gardens Of Union,B,PARK,0.203,40.67692601264956,-73.98246825805398
Carter G. Woodson Children's Park,B,PARK,0.918,40.668454265512935,-73.90583186273271
Nehemiah Park,B,PARK,1.648,40.66224645240334,-73.90552206015583
Mother Cabrini Park,B,PARK,0.467,40.68438267562099,-74.00490487035695
Siren Slope,X,PARK,0.275,40.876725027084944,-73.90389159811566
Umma Park,B,PARK,0.111,40.65369752540812,-73.96192832532948
Gateway Triangle,B,PARK,0.07,40.68401787215834,-73.96827406105051
Ten Eyck Plaza,B,PARK,0.46,40.709299632323514,-73.94933841009455
Thomas Boyland Park,B,PARK,1.82,40.681742741253714,-73.90754695519657
Robert E. Venable Park,B,PARK,2.939,40.674422365796204,-73.86522898884905
University Place,B,PARK,1.161,40.69102207362266,-73.98157311267272
Friends Field,B,PARK,6.7,40.61872528233383,-73.97290335484726
Woods Playground,B,PARK,1.438,40.674543698299374,-73.92895635225094
Houston Playground,B,PARK,0.918,40.67220442096283,-73.905070758608
Chester Playground,B,PARK,1,40.66869400262501,-73.9118484842985
Remsen Playground,B,PARK,1.333,40.642326605311986,-73.90735589804171
Eleanor Roosevelt Playground,B,PARK,1.211,40.692766813426914,-73.935576737921
De Hostos Playground,B,PARK,1.1,40.70268116131484,-73.94931898171298
North Pacific Playground,B,PARK,0.155,40.68530334798963,-73.98212363202484
Bergen Beach Playground,B,PARK,0.927,40.62242748142391,-73.90953459862192
Curtis Playground,B,PARK,1.003,40.64095208198848,-73.91741522760096
Kosciuszko Pool,B,PARK,2.391,40.69120697860946,-73.94943969464917
Stroud Playground,B,PARK,1.194,40.67492952832764,-73.96189757763113
Willoughby Playground,B,PARK,0.907,40.694470152994995,-73.94681939494221
Carver Playground,B,PARK,0.964,40.68030439650854,-73.92053093253058
Ericsson Playground,B,PARK,1.06,40.72036573252965,-73.94823889583347
Green Gems,B,PARK,0.539,40.67650163554072,-73.87527855660369
Ethan Allen Playground,B,PARK,0.8,40.655703673479145,-73.88693060367326
100% Playground,B,PARK,1.616,40.646438953421004,-73.89913359297151
Garden Playground,B,PARK,0.915,40.70109423299065,-73.93831175446925
Century Playground,B,PARK,2.282,40.57701789632067,-73.97039455849524
Fermi Playground,B,PARK,1.061,40.70060166200527,-73.9283158111325
Evergreen Playground,B,PARK,0.87,40.686107787460436,-73.91075895718814
Hickman Playground,B,PARK,2.656,40.62029972910868,-73.91299666730669
Fish Playground,B,PARK,1.035,40.67821181157558,-73.91467808945961
Jacob Joffe Fields,B,PARK,2.984,40.625337605646465,-73.91936147090968
Hattie Carthan Playground,B,PARK,1.195,40.6856025972062,-73.9461393894335
Pulaski Playground,B,PARK,1.416,40.69360477524132,-73.94170212894785
Whalen Playground,X,PARK,0.326,40.87436825493284,-73.87779364687002
Edmonds Playground,B,PARK,0.917,40.6891881523979,-73.97153486807002
Park Slope Playground,B,PARK,0.955,40.67683338378125,-73.97855123191663
DiGilio Playground,B,PARK,0.826,40.63262866056999,-73.97713083694414
Beach Channel Playground,Q,PARK,1.051,40.588916422718306,-73.8058472686838
Berriman Playground,B,PARK,0.959,40.65684037078187,-73.869477016752
El Shabazz Playground,B,PARK,0.89,40.68279665757458,-73.93044672951048
Woodruff Playground,B,PARK,0.536,40.66539199634401,-73.86603070658303
Yak Playground,B,PARK,0.444,40.59227932287783,-73.93648023597271
Tiger Playground,B,PARK,0.926,40.688251943268384,-73.91097890568678
Playground 286,B,PARK,0.868,40.59102945627581,-73.9384046353271
Kennedy King Playground,B,PARK,0.79,40.6585960887267,-73.92203240165968
Oracle Playground,B,PARK,0.703,40.69393129470582,-73.97151844984828
Luna Playground,B,PARK,1.76,40.57609488005038,-73.97840123265583
Oxport Playground,B,PARK,1.033,40.69760448607701,-73.97624385785288
Classon Playground,B,PARK,1.336,40.68942919864067,-73.96056223618295
Pratt Playground,B,PARK,0.918,40.692636513704876,-73.96252583671057
Power Playground,B,PARK,2.295,40.61812995051285,-73.92732201405056
Slope Park Playground,B,PARK,0.504,40.661268791863826,-73.98951078309588
Harry Maze Playground,B,PARK,2.427,40.64341784079299,-73.92317587816285
Marc And Jason's Playground,B,PARK,1.148,40.66350601114732,-73.9495753213389
Patrick O'Rourke Playground,B,PARK,1.23,40.61914688080905,-74.0139971226036
St. Mary's Park,X,PARK,35.311,40.8114699390607,-73.9122189654009
Bayview Playground,B,PARK,1.21,40.63491240681973,-73.88690984753543
Railroad Playground,B,PARK,2.3,40.64943765098859,-73.91427996092004
Winthrop Playground,B,PARK,1.252,40.65656962349367,-73.95436927649797
Star Spangled Playground,B,PARK,1.687,40.691896033158585,-73.95795318304035
Sumner Playground,B,PARK,1.97,40.6972757293002,-73.94275920793216
Howard Playground,B,PARK,1,40.67172563602114,-73.90808802993739
Park,B,PARK,0.205,40.65090090922988,-73.9739968091673
Wingate Park,B,PARK,5.888,40.658569523569376,-73.94419926338017
West Playground,B,PARK,2.387,40.58708392554916,-73.97007084680666
Nostrand Playground,B,PARK,3.023,40.63811484279114,-73.94705808666637
McDonald Playground,B,PARK,3.485,40.60056024628958,-73.97210105258694
Sheepshead Playground,B,PARK,2.087,40.588810704056165,-73.94017895177132
Herman Dolgon Playground,B,PARK,1.894,40.59809205564278,-73.94000255032846
Tilden Playground,B,PARK,1.19,40.64762216320528,-73.93142533662983
Nicholas Naquan Heyward Jr. Park,B,PARK,1.041,40.68458405276104,-73.98786677828085
Seward Park,M,PARK,3.361,40.7147901268322,-73.98922815891095
Yankee Stadium Garages/Lots,X,PARK,11.414,40.82585824592592,-73.92722653214337
St. Andrew's Playground,B,PARK,3.38,40.67868504819284,-73.94223430720562
P.O. Reinaldo Salgado Playground,B,PARK,2.289,40.68792063130088,-73.92583707579466
Rodney Playground Center,B,PARK,0.189,40.710255829915496,-73.95557068356275
Dutch Kills Playground,Q,PARK,2.4,40.75724510581043,-73.93324907170141
Queens Valley Playground,Q,PARK,0.876,40.721859063377075,-73.82372503528593
Jennie Jerome Playground,X,PARK,0.287,40.84556584772135,-73.9134742380021
Rochdale Park,Q,PARK,8.833,40.6746707203089,-73.7744232395812
Police Officer Nicholas Demutiis Park,Q,PARK,1.151,40.681772996726004,-73.83928307979104
Springfield Park,Q,PARK,23.543,40.6613137957501,-73.7619478870186
United Community Center,B,PARK,0.525,40.66541400297674,-73.88686702187965
Harry Chapin Playground,B,PARK,0.3,40.70066437398659,-73.99492422998985
Brooklyn Heights Promenade,B,PARK,0.32,40.697420079916384,-73.99727213414569
Brooklyn Heights Promenade,B,PARK,0.08,40.69601744797809,-73.99791132136622
Pierrepont Playground,B,PARK,0.503,40.69626380268878,-73.99756504392813
Newtown Playground,Q,PARK,0.703,40.736313007507725,-73.86952576101322
Pfc Norton Playground,B,PARK,0.55,40.61458120353673,-73.94490167230686
Sunners Playground,B,PARK,0.197,40.63249773939192,-73.92961559693924
Hamilton Metz Field,B,PARK,2.112,40.66256640445535,-73.94096519900256
Russell Pedersen Playground,B,PARK,1.37,40.626381497395904,-74.03618079336343
Continental Army Plaza,B,PARK,0.532,40.71058362050231,-73.96045047661113
La Guardia Playground,B,PARK,0.406,40.71045464969254,-73.95974822560446
John Hancock Playground,B,PARK,1.547,40.68233721935841,-73.954537610906
P.S. 125 Playground,B,PARK,0.208,40.66514681712142,-73.90906805436524
Jackie Robinson Playground,B,PARK,1,40.66579035136265,-73.95923738599166
Clearview's Tail,Q,PARK,0.012,40.72473594020418,-73.75563456393589
Dr. Green Playground,B,PARK,1.791,40.66719912699817,-73.90705998745166
Powell Playground,B,PARK,1.024,40.67126735443302,-73.90484269094374
Baisley Pond Park,Q,PARK,109.609,40.67588888210328,-73.78618229228483
Nellie Bly Park,B,PARK,1.056,40.590843794235724,-73.99446006470686
Berry Playground,B,PARK,0.327,40.712643648339544,-73.96351293191798
Thomas Greene Playground,B,PARK,2.525,40.68031718709593,-73.98535191831799
Bedford Playground,B,PARK,0.996,40.70822780546672,-73.96390371923417
Jennifer's Playground,R,PARK,1.6,40.620053375662295,-74.16312967868727
Tottenville Pool,R,PARK,3.259,40.505540648863516,-74.23582568575948
CPL. Thompson Park,R,PARK,10.5,40.63806407999891,-74.11885100885543
Cough Triangle,B,PARK,0.032,40.674498942241414,-73.999894364246
Bloomingdale Park,R,PARK,138.1,40.53269340260089,-74.21428236473078
South Shore Country Club,R,PARK,173.994,40.55077091367064,-74.20541475137564
John Allen Payne Playground,B,PARK,1.51,40.63997219899175,-74.02388094957324
Greencroft Playground,R,PARK,3.23,40.551779146100756,-74.13643447460393
Dongan Playground,R,PARK,1.293,40.58268389036933,-74.08942868532962
Davis Playground,R,PARK,0.949,40.64228602180608,-74.08560985681622
E.M.T. Christopher J. Prescott Playground,R,PARK,1.124,40.52260374477284,-74.18609146990494
Northerleigh Park,R,PARK,3.955,40.62283324992949,-74.13408716402286
Markham Playground,R,PARK,2.836,40.62347935796365,-74.14589142858829
Sports Park,R,PARK,4.647,40.60950209393329,-74.1197521615532
Clawson Playground,R,PARK,3.593,40.560607207763965,-74.12383653907261
Lot,B,PARK,0.975,40.71159610408681,-73.96570476056375
Crispus Attucks Playground,B,PARK,0.934,40.68156817541831,-73.95917367847359
Atkins Gardeners,B,PARK,0.068,40.673795710456474,-73.87852167407974
Bailey Playground,X,PARK,3.533,40.88206247250122,-73.90002670968502
DeLury Square,M,PARK,0.209,40.709090224758775,-74.0050714208696
Vogue Garden,X,PARK,0.047,40.82056159477653,-73.91406142628593
Rienzi Playground,X,PARK,1.23,40.88761828487935,-73.85856742777169
Gun Hill Playground,X,PARK,0.716,40.87469548421338,-73.86550819292059
Mohegan Triangle,X,PARK,0.096,40.844284100760504,-73.88473338632062
B.C.C.A. Mini-park and Garden,Q,PARK,0.092,40.68334831850958,-73.79207418792932
Park,Q,PARK,0.011,40.72875802672552,-73.8792729809153
Magenta Playground,X,PARK,1.205,40.873746144573005,-73.86786660416212
Gorman Playground,Q,PARK,2.755,40.76238428359069,-73.8842369646295
West Farms Rapids,X,PARK,1.016,40.84115349614757,-73.87779397579068
Block Association #81,Q,PARK,0.115,40.69066421757622,-73.80374066057047
Park,X,PARK,0.007,40.83092434162393,-73.83157863629047
Walt Whitman Park,B,PARK,2.913,40.698227305652445,-73.98936768146355
Lafayette Playground,B,PARK,1.187,40.594508829029394,-73.98528984531403
Alben Square,B,PARK,0.005,40.639430045433095,-73.9945627185332
St. George Park,R,PARK,0.089,40.644546724937044,-74.0778652487006
Annadale Green,R,PARK,0.3,40.54143742402908,-74.1776519014912
Willowbrook Park,R,PARK,214.947,40.600694189735705,-74.15696103789568
Jesse Owens Playground,B,PARK,2.326,40.69137246287296,-73.93239338845963
Fox Playground,B,PARK,2.27,40.63232866434428,-73.92392166226252
Corlears Hook Park,M,PARK,4.355,40.71177569520266,-73.9795128092735
The Cyclone,B,PARK,1.17,40.574370744289574,-73.97772870705859
Sgt. Joyce Kilmer Square,B,PARK,0.001,40.60785349555862,-73.96082356644273
Devoe Park,X,PARK,5.44,40.86331172641229,-73.90624584356509
Thomas Paine Park,M,PARK,1.875,40.714774571815404,-74.00260505507136
Roy Wilkins Recreation Center,Q,PARK,56.831,40.687700644137095,-73.77194733418862
Highland Park,B,PARK,45.059,40.684970613591766,-73.88670131165128
Veterans Plaza,Q,PARK,0.09,40.75876516649316,-73.87484190749419
Vinegar Hill Community Garden,B,PARK,0.064,40.70151621913401,-73.98263576761677
Macombs Dam Park,X,PARK,44.174,40.828764608319155,-73.92817867138888
Irving Square Park,B,PARK,2.76,40.692442801267795,-73.90918444069287
Fidler-Wyckoff House Park,B,PARK,1.13,40.64454561377014,-73.9206398607301
Underbridge Dog Run,Q,PARK,0.457,40.73386187207152,-73.84521937213967
Frank Golden Park,Q,PARK,11.422,40.784836826930416,-73.83373618727215
Athens Square,Q,PARK,0.925,40.767812794221726,-73.92228381510856
Spirit Playground,Q,PARK,0.786,40.7612186802507,-73.94148485908862
Bay Terrace Playground,Q,PARK,0.91,40.782378179207484,-73.77759301050799
Rosemary's Playground,Q,PARK,1.967,40.70472983759574,-73.9039502224927
Auburndale Playground,Q,PARK,0.686,40.76585893201496,-73.79433489459636
Gravesend Triangle,B,PARK,0.06,40.595004053971735,-73.96936802538664
Conch Playground,Q,PARK,1.889,40.595998123295345,-73.78067534934789
Bayside Playground,Q,PARK,1.21,40.58486079760808,-73.82514356234306
Francis Lewis Playground,Q,PARK,1.206,40.76043688240717,-73.78403163182315
Ampere Playground,Q,PARK,1.318,40.68184219381808,-73.8569478361757
Playground Sixty Two LXII,Q,PARK,1.48,40.73616178537484,-73.85296852334187
Willets Point Playground,Q,PARK,1.145,40.7837874053933,-73.79640237702914
Murray Hill Playground,Q,PARK,1.206,40.761667013783374,-73.81183043229346
Horace Harding Playground,Q,PARK,1.304,40.73334081741899,-73.86054729459745
South Rochdale Playground,Q,PARK,0.942,40.67386295741166,-73.7690654676395
North Rochdale Playground,Q,PARK,1.071,40.679967936442054,-73.77503655512213
